VIN,接收时间,报文时间,报文内容,
LDP53A930HC108980,2019/10/26 15:23,2019/10/26 15:22,232302fe4c4450353341393330484331303839383001008d130a1a0f163a010103010000000008d700d22732090100d0c10000020101043d4e204e203702eb27100500072d862801e1736c0601021068010910680101d20102000700000000000000000008010100d22732001600011600001068106810680000000000001068106800000000000000000000000000000000000000000000000000000901010004d20000006b,232302
LDP53A930HC108980,2019/10/26 15:23,2019/10/26 15:23,232302fe4c4450353341393330484331303839383001008d130a1a0f1717010103010000000008d700d2272d090100e6ed0000020101043d4e204e203702eb27100500072d85f801e172540601021068010910680101d20102000700000000000000000008010100d2272d001600011600001068106810680000000000001068106800000000000000000000000000000000000000000000000000000901010004d2000000b7,232302
LDP53A930HC108980,2019/10/26 15:23,2019/10/26 15:23,232302fe4c4450353341393330484331303839383001008d130a1a0f1730010103010000000008d700d2272c090100e7280000020101043d4e204e203702eb27100500072d85f801e172540601021068010910680101d20102000700000000000000000008010100d2272c001600011600001068106810680000000000001068106800000000000000000000000000000000000000000000000000000901010004d200000054,232302
LDP53A930HC108980,2019/10/26 15:24,2019/10/26 15:24,232302fe4c4450353341393330484331303839383001008d130a1a0f180d010103010000000008d700d2272b090100e7dc0000020101043d4e204e203702eb27100500072d85f001e172540601021068010210680101d20102000700000000000000000008010100d2272b001600011600001068106810680000000000001068106800000000000000000000000000000000000000000000000000000901010004d200000091,232302
LDP53A930HC108980,2019/10/26 15:24,2019/10/26 15:24,232302fe4c4450353341393330484331303839383001008d130a1a0f1826010103010000000008d700d2272a090100e7dc0000020101043d4e204e203702eb27100500072d85f001e172600601021068010910680101d20102000700000000000000000008010100d2272a001600011600001068106810680000000000001068106800000000000000000000000000000000000000000000000000000901010004d200000085,232302
LDP53A930HC108980,2019/10/26 15:25,2019/10/26 15:25,232302fe4c4450353341393330484331303839383001008d130a1a0f1903010103010000000008d700d2272a090100e7dc0000020101043d4e204e203702eb27100500072d85f001e172600601021068010910680101d20102000700000000000000000008010100d2272a001600011600001068106810680000000000001068106800000000000000000000000000000000000000000000000000000901010004d2000000a1,232302
LDP53A930HC108980,2019/10/26 15:25,2019/10/26 15:25,232302fe4c4450353341393330484331303839383001008d130a1a0f191c010103010000000008d700d2272a090100e7dc0000020101043d4e204e203702eb27100500072d85e801e172760601021068010910680101d20102000700000000000000000008010100d2272a001600011600001068106810680000000000001068106800000000000000000000000000000000000000000000000000000901010004d2000000b0,232302
LDP53A930HC108980,2019/10/26 15:25,2019/10/26 15:25,232302fe4c4450353341393330484331303839383001008d130a1a0f1935010103010000000008d700d22714090100e7dc0000020101043d4e204e203702eb27100500072d85e801e172760601021068010910680101d20102000700000000000000000008010100d22714001600011600001068106810680000000000001068106800000000000000000000000000000000000000000000000000000901010004d200000099,232302
LDP53A930HC108980,2019/10/26 15:26,2019/10/26 15:26,232302fe4c4450353341393330484331303839383001008d130a1a0f1a12010103010000000383f500d2272a090100e7dc0000020101043d4e204e203702eb27100500072d85e801e172760601021068010910680101d20102000700000000000000000008010100d2272a001600011600001068106810680000000000001068106800000000000000000000000000000000000000000000000000000901010004d200000017,232302
LDP53A930HC108980,2019/10/26 15:26,2019/10/26 15:26,232302fe4c4450353341393330484331303839383001008d130a1a0f1a2b010103010000000383f500d2272a090100e7dc0000020101043d4e204e203702eb27100500072d85e801e172760601021068010910680101d20102000700000000000000000008010100d2272a001600011600001068106810680000000000001068106800000000000000000000000000000000000000000000000000000901010004d20000002e,232302
LDP53A930HC108980,2019/10/26 15:27,2019/10/26 15:27,232302fe4c4450353341393330484331303839383001008d130a1a0f1b08010103010000000383f500d2272a090100e7dc0000020101043d4e204e203702eb27100500072d85e801e172760601021068010910680101d20102000700000000000000000008010100d2272a001600011600001068106810680000000000001068106800000000000000000000000000000000000000000000000000000901010004d20000000c,232302
LDP53A930HC108980,2019/10/26 15:27,2019/10/26 15:27,232302fe4c4450353341393330484331303839383001008d130a1a0f1b21010103010000000383f500d2272a090100bf9f0000020101043d4e204e203702ea27100500072d85e801e172880601021068010910680101d20102000700000000000000000008010100d2272a001600011600001068106810680000000000001068106800000000000000000000000000000000000000000000000000000901010004d2000000c1,232302
LDP53A930HC108980,2019/10/26 15:27,2019/10/26 15:27,232302fe4c4450353341393330484331303839383001008d130a1a0f1b3a010103010000000383f500d2272a090100bf9f0000020101043d4e204e203702ea27100500072d85e801e172a00601021068010810680101d20102000700000000000000000008010100d2272a001600011600001068106810680000000000001068106800000000000000000000000000000000000000000000000000000901010004d2000000f3,232302
LDP53A930HC108980,2019/10/26 15:28,2019/10/26 15:28,232302fe4c4450353341393330484331303839383001008d130a1a0f1c17010103010000000383f500d2272a090100bf9f0000020101043d4e204e203702ea27100500072d85f001e172a40601021068010310680101d20102000700000000000000000008010100d2272a001600011600001068106810680000000000001068106800000000000000000000000000000000000000000000000000000901010004d2000000ce,232302
LDP53A930HC108980,2019/10/26 15:28,2019/10/26 15:28,232302fe4c4450353341393330484331303839383001008d130a1a0f1c30010103010000000383f500d2272a090100d54f0000020101043d4e204e203702ea27100500072d85f001e1729a0601021068010910680101d20102000700000000000000000008010100d2272a001600011600001068106810680000000000001068106800000000000000000000000000000000000000000000000000000901010004d200000067,232302
LDP53A930HC108980,2019/10/26 15:29,2019/10/26 15:29,232302fe4c4450353341393330484331303839383001008d130a1a0f1d0d010103010000000383f500d2272a090100d6ee0000020101043d4e204e203702ea27100500072d85f001e1729e0601021068010910680101d20102000700000000000000000008010100d2272a001600011600001068106810680000000000001068106800000000000000000000000000000000000000000000000000000901010004d2000000fd,232302
